Round,Optimizer,Epochs,Lr_rate,Hidden_Nodes,Test_Accuracy_dataset2,Mean_Byte_Error_dataset2,Test_Accuracy_dataset3,Mean_Byte_Error_dataset3,Test_Accuracy_dataset4,Mean_Byte_Error_dataset4
1,Adam,50,0.0024,45,64.78880376161443,0.35061175438140146,61.60235033545439,0.3842822071866601,63.000474983699874,0.3712532448386934
2,Adam,10,0.0027,45,64.62050889023344,0.35023789497345376,61.079402280406164,0.392411108164667,63.85973596185229,0.3
3,Adam,40,0.0025,45,64.26009346988322,0.36236182535251565,60.43741204483555,0.39106282499639,60.773129418318696,0.3967011174020511
4,Adam,20,0.0023,45,63.131238101730005,0.3689548798418864,59.46506388644849,0.4040973795051073,60.59162972623829,0.3954900598402454
5,Adam,45,0.0025,45,62.85892518913465,0.3647395717674866,59.59915852575991,0.40567179140730925,60.38849288157675,0.4032755990806342
6,RMSprop,10,0.002,40,62.755066374298124,0.36966535166767545,59.55819352988516,0.40746482809225043,60.47122656239804,0.3982477134314667
7,Adam,49,0.0025,45,62.534125789643454,0.3765017463436422,59.39392217499785,0.3974705851986041,60.66776525859362,0.4013303350950519
8,Adam,19,0.001,50,62.329173126105715,0.3846169529845819,59.21725822251758,0.41564919332868355,60.58133281405287,0.38530967545010325
9,Adam,24,0.003,55,62.134579418029105,0.37492416081912927,59.21408564422515,0.4139555971757253,60.36721744639443,0.3861601071284562
10,RMSprop,15,0.001,55,62.20470697792523,0.383317406980447,59.16626776862381,0.41442804585574783,60.37408568914348,0.38600749380267313
11,RMSprop,60,0.003,50,61.96690711133648,0.3793232088521577,58.97361171796317,0.4019923969753776,60.46011526652195,0.3972517821206445
12,Adam,51,0.001,45,61.821055265740725,0.3899556915705776,59.10962583120228,0.40651927040342845,60.214340637545256,0.38895202256841743
13,RMSprop,16,0.001,45,61.40795470418656,0.38232934186969636,59.04246802862313,0.40977916534365116,60.402000064334615,0.39950467780173426
14,RMSprop,59,0.003,40,61.32007580331341,0.38903415539815467,58.817421068763004,0.41526933988154513,60.27940585426698,0.4019704806070023
15,RMSprop,17,0.003,40,61.328550656663616,0.3951808758923412,58.866759055519005,0.4188647996622209,60.278643946850146,0.4057077764279764
16,Adam,36,0.002,40,60.952849334013315,0.3816036991018435,58.48505480995781,0.4053992240192096,60.08597029062708,0.3894889120212664
17,Adam,47,0.002,55,61.00547273867572,0.39556335260303593,58.6860024755809,0.4204529898709338,60.2032754078568,0.3968198546763858
18,Adam,14,0.0025,40,60.820065691465956,0.3849052154144112,58.433983000059186,0.414395449215369,60.000469705736585,0.4042440851216174
19,RMSprop,20,0.0025,50,60.416809042564736,0.39048740556106226,58.38536163553743,0.4089658378954338,60.157378362905405,0.3957189481165892
20,Adam,50,0.0021,45,60.3036255329923,0.3936201896661859,58.407636728484476,0.41095231674838856,60.10378240267102,0.4023383355451171
21,RMSprop,25,0.003,50,59.696722046617936,0.4096171927537625,58.55590117212154,0.42120489186444565,60.0333283590869,0.3982184573517057
22,RMSprop,35,0.002,40,59.061462247709116,0.4119840772616679,58.39546435352971,0.4166521484462582,59.516365270619545,0.40890313195838857
23,RMSprop,28,0.002,45,58.70817134243308,0.41973530346142085,58.39810596129512,0.42608257868958493,59.69463160436943,0.4060451415297292
24,Adam,28,0.002,55,57.926196393582245,0.41505152880070856,58.16257239219781,0.41615112698081336,59.32408488855684,0.40446065829217803
25,RMSprop,31,0.001,50,57.38498326248898,0.42923810937646795,58.115922058392094,0.4199944161562415,59.16550639161142,0.40519074041998265
26,RMSprop,12,0.003,55,57.11173602364971,0.43634583129155874,58.43964612650646,0.42390761471596683,58.77048208649117,0.4105586383290349
27,RMSprop,15,0.002,45,56.26836664328448,0.4298867751815666,58.113400716711,0.41414512107947316,58.83138211741006,0.41001631516343096
28,RMSprop,45,0.002,40,55.821390034317794,0.44950147887202435,58.32517704740061,0.4107849042092573,58.79082571637389,0.41674007306678457
29,RMSprop,57,0.003,40,55.26026986670939,0.44155180094880786,58.122235710063975,0.42614747172609246,58.400512900139496,0.4084148922420165
30,Adam,24,0.003,40,54.52520888433783,0.45419431832705676,58.22153213166378,0.4191881867013765,58.26698522856259,0.41197026412618937
31,Adam,40,0.0026,45,54.12982405434525,0.4559333743045751,58.20869183703655,0.42554005582814525,58.088219022985044,0.42131885356668564
